Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Concept: Platform,Concept: Service,Concept: Technology,Concept: Company,Concept: Personal Information,Concept: Other Brands,Concept: Non-Brands,Concept: Hosting Provider,Concept: Others,Concept: Control Panel
website domain,INR,5000,0%,0%,Medium,50,16.71,89.24,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
best web hosting,INR,5000,0%,0%,Medium,64,55.65,307.11,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
byethost,INR,5000,900%,0%,Low,5,16.18,101.51,,,,,,,,,,,,,,,,,,,free hosting,,,,free,,,,
domain finder,INR,5000,0%,0%,Medium,38,17.8,74.01,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
instant domain search,INR,5000,0%,0%,Low,14,20.69,91.67,,,,,,,,,,,,,,,,,,,,,,name,instant domain search,,,,
domain name check,INR,5000,0%,0%,Medium,43,16.27,67.65,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
cheap vps,INR,500,900%,900%,High,80,100.25,291.28,,,,,,,,,,,,,,,,,,,vps,,,,,Non-Brands,,,
hosting minecraft,INR,50,0%,0%,Low,14,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
hostinger domain,INR,5000,0%,0%,Medium,39,7.16,50.26,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting",,,,,,hostinger,,
cpanel hosting,INR,5000,-90%,-90%,Medium,65,59.69,276.95,,,,,,,,,,,,,,,,,,,web hosting,,,,,,,,cpanel
free website domain,INR,5000,0%,0%,Medium,63,23.88,2341.35,,,,,,,,,,,,,,,,,,,,,,"website, name",free,,,,
free domain hosting,INR,5000,0%,0%,High,68,35.81,348.04,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting, free hosting",,,website,free,,,,
best minecraft server hosting,INR,500,0%,0%,Low,17,4.78,23.08,,,,,,,,,,,,,,,,,,,free hosting,,,,free,,,,
cheap web hosting,INR,5000,0%,0%,High,76,62.87,309.18,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
free wordpress hosting,INR,5000,0%,0%,Medium,59,31.04,214.08,,,,,,,,,,,,,,,,,,wordpress,"wordpress hosting, web hosting, free hosting",,,,free,,,,
wix domain,INR,500,0%,-90%,Low,16,9.25,70.83,,,,,,,,,,,,,,,,,,wix,website hosting,,,website,,,,,
free server hosting,INR,5000,0%,-90%,Medium,49,23.46,163.26,,,,,,,,,,,,,,,,,,,free hosting,,,,free,,,,
hostgator cpanel,INR,500,0%,0%,Low,22,50.03,132.08,,,,,,,,,,,,,,,,,,,,,hostgator,,,,,,cpanel
siteground hosting,INR,500,0%,0%,Low,25,37.4,345.39,,,,,,,,,,,,,,,,,,,,,,,siteground,,,,
windows vps,INR,500,0%,0%,High,76,112.21,469.54,,,,,,,,,,,,,,,,,,,"vps, windows hosting",,,,,Non-Brands,,,
icann lookup,INR,500,0%,0%,Low,7,11.81,123.35,,,,,,,,,,,,,,,,,,,,,,name,icann,,,,
best hosting,INR,5000,0%,0%,High,72,65.48,352.56,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
best domain registrar,INR,500,0%,0%,Medium,48,26.26,191.68,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
best wordpress hosting,INR,5000,0%,0%,High,73,142.45,738.54,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, web hosting",,,,,,,,
tld list,INR,500,0%,0%,Low,5,36.61,237.96,,,,,,,,,,,,,,,,,,,,,,,tldlist,,,,
cheap hosting,INR,5000,0%,0%,High,84,71.63,370.55,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
free domain and hosting,INR,5000,0%,0%,High,68,36.61,362.11,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, web hosting, free hosting",,,,free,,,,
virtualmin,INR,500,0%,0%,Low,1,23.82,131.31,,,,,,,,,,,,,,,,,,,web hosting,,,,,,,,virtualmin
hosting checker,INR,5000,0%,0%,Low,4,24.51,149.75,,,,,,,,,,,,,,,,,,,website hosting,,,website,,Non-Brands,,,
estibot,INR,500,0%,-90%,Low,2,39.39,106.64,,,,,,,,,,,,,,,,,,,,,,name,estibot,,,,
aws hosting,INR,5000,0%,0%,Medium,40,30.14,162.35,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",aws,,,,,,,
domain generator,INR,500,0%,0%,Medium,45,17.14,70.83,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
virtual host,INR,500,0%,0%,Low,22,72.74,139.27,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
sparked host,INR,500,0%,0%,Low,2,6.37,35.1,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
shared hosting,INR,5000,0%,0%,Medium,59,57.56,339.03,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
bluehost domain,INR,500,0%,-90%,Medium,43,23.08,164.74,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting",,bluehost,,,,,,
contabo vps,INR,500,0%,0%,Medium,55,100.28,246.71,,,,,,,,,,,,,,,,,,,vps,,,,contabo,,,,
check domain name availability,INR,5000,0%,0%,Medium,38,18.03,77.99,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
web hosting services,INR,5000,0%,0%,Medium,55,48.88,318.33,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
my domain,INR,500,0%,0%,Low,23,12.56,103.51,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
000webhosting,INR,50000,0%,0%,Low,3,12.68,71.63,,,,,,,,,,,,,,,,,,,"web hosting, free hosting",,,,free,,000webhost,,
x10hosting,INR,5000,0%,0%,Low,11,17.51,79.58,,,,,,,,,,,,,,,,,,,"web hosting, free hosting",,,,free,,x10hosting,,
domains for sale,INR,500,0%,0%,Medium,54,21.7,126.54,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
domain name lookup,INR,500,0%,0%,Low,31,14.33,73.22,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
dedicated server hosting,INR,500,-90%,0%,High,67,169.51,520.74,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
dns cname,INR,500,0%,0%,Low,1,9.55,95.5,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
cctld,INR,500,0%,0%,Low,2,12.73,102.66,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
freedomain,INR,5000,0%,0%,Medium,62,18.03,80.74,,,,,,,,,,,,,,,,,,,,,,,free,,,,
cname lookup,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
cpanel wordpress,INR,500,0%,0%,Low,14,10.35,49.34,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,,,,,,,cpanel
1and1 email,INR,500,0%,0%,Low,10,120.17,955,,,,,,,,,,,,,,,,,,,email hosting,,1&1,email,,,,,
web domain,INR,500,0%,0%,Medium,41,17.49,95.5,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
virtual private server,INR,500,0%,0%,Medium,56,97.09,307.99,,,,,,,,,,,,,,,,,,,"vps, virtual server",,,,,Non-Brands,,,
shopify domain,INR,500,0%,0%,Low,19,15.3,116.99,,,,,,,,,,,,,,,,,,shopify,,,,,,,,,
buy website domain,INR,5000,0%,-90%,Medium,54,24.27,250.08,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
hosting by alitech,INR,50,0%,?,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
domain owner lookup,INR,500,0%,0%,Medium,36,6.37,79.58,,,,,,,,,,,,,,,,,,,,,,website,,Non-Brands,,,
best free minecraft server hosting,INR,500,0%,-90%,Low,11,3.18,12.73,,,,,,,,,,,,,,,,,,,free hosting,,,,free,,,,
domain appraisal,INR,500,0%,0%,Low,20,4.87,32.63,,,,,,,,,,,,,,,,,,,,,,,domain appraisal,,,,
hostinger mail,INR,50000,0%,900%,Low,4,31.92,699.24,,,,,,,,,,,,,,,,,,,email hosting,,,email,,,hostinger,,
cloud vps,INR,500,0%,0%,High,70,115.81,486.26,,,,,,,,,,,,,,,,,,,"cloud hosting, vps",,,,,Non-Brands,,,
freehostia,INR,500,0%,0%,Low,14,17.51,105.05,,,,,,,,,,,,,,,,,,,web hosting,,,,freehostia,,,,
go daddy domain,INR,500,0%,0%,Medium,39,12.73,404.29,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
wpx hosting,INR,500,0%,-90%,Low,24,90.41,557.09,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,,,,,,,
vhost,INR,500,0%,0%,Low,11,12.73,108.23,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
google web hosting,INR,500,0%,0%,Medium,46,24.67,4328.56,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",google,,website,,,,,
cheap domain names,INR,5000,0%,0%,High,75,33.42,164.74,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
google domain search,INR,5000,0%,0%,Medium,43,21.16,384.39,,,,,,,,,,,,,,,,,,,domain registration,google,google domains,website,,,,,
purchase domain name,INR,5000,0%,0%,Medium,57,24.67,191.8,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
centos web panel,INR,500,0%,0%,Low,2,8.75,88.55,,,,,,,,,,,,,,,,,,,"linux hosting, web hosting, free hosting",,,,free,,,,
gtld,INR,500,0%,0%,Low,5,24.67,141.66,,,,,,,,,,,,,,,,,,,,,,name,gtld,,,,
ionos domain,INR,500,0%,0%,Medium,48,38.2,116.99,,,,,,,,,,,,,,,,,,,,,1&1,,,,,,
free website builder and domain,INR,500,0%,0%,High,69,22.9,202.14,,,,,,,,,,,,,,,,,,,,,,website,free,,,,
domain name suggestions,INR,5000,0%,0%,Medium,47,19.9,97.89,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
check domain owner,INR,500,0%,0%,Medium,35,4.78,87.14,,,,,,,,,,,,,,,,,,,,,,website,,Non-Brands,,,
godaddy domain appraisal,INR,5000,0%,900%,Low,17,4.78,40.59,,,,,,,,,,,,,,,,,,,,,godaddy,name,domain appraisal,,,,
cloudflare hosting,INR,500,0%,0%,Medium,42,44.51,299.25,,,,,,,,,,,,,,,,,,,,,cloudflare,,,,,,
godaddy cpanel,INR,5000,0%,0%,Low,16,49.84,1193.76,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,cpanel
squarespace domain,INR,50,0%,0%,Low,32,20.27,377.23,,,,,,,,,,,,,,,,,,squarespace,website hosting,,,website,,,,,
buy dedicated server,INR,500,-90%,0%,High,70,198.96,462.86,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
amazon hosting,INR,500,0%,0%,Medium,39,22.67,159.96,,,,,,,,,,,,,,,,,,,cloud hosting,aws,,,,,,,
godaddy domain name,INR,500,0%,-90%,Low,30,5.57,140.83,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
dns name,INR,500,0%,0%,Low,8,9.55,57.3,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
godaddy hosting plans,INR,5000,0%,0%,Low,25,12.99,155.98,,,,,,,,,,,,,,,,,,,web hosting,,godaddy,,,,,,
fully qualified domain name,INR,500,0%,0%,Low,0,15.12,50.93,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
free email hosting,INR,500,0%,0%,Medium,38,21.49,149.44,,,,,,,,,,,,,,,,,,,"free hosting, email hosting",,,"email, address",free,,,,
domain price,INR,5000,0%,0%,Medium,56,13.82,61.63,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
transfer domain to godaddy,INR,5000,0%,0%,Low,18,64.46,694.77,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
hosting provider,INR,500,-90%,0%,Medium,65,66.85,338.23,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
domain registration lookup,INR,50,0%,-90%,Medium,37,13.35,77.2,,,,,,,,,,,,,,,,,,,domain registration,,,"website, name",,Non-Brands,,,
free cloud server,INR,500,0%,0%,Medium,58,39.79,637.47,,,,,,,,,,,,,,,,,,,"cloud hosting, free hosting",,,,free,,,,
hostgator domain,INR,500,0%,-90%,Medium,46,14.69,80.5,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting",,hostgator,,,,,,
web hosting companies,INR,5000,0%,0%,Low,30,23.88,209.36,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
best vps hosting,INR,500,0%,0%,Medium,65,139.27,487.05,,,,,,,,,,,,,,,,,,,vps,,,,,Non-Brands,,,
godaddy web hosting,INR,5000,0%,0%,Medium,39,18.3,1193.76,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting",,godaddy,website,,,,,
domain extensions,INR,500,0%,0%,Low,20,7.96,121.76,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
top host,INR,500,-90%,-90%,Medium,58,42.18,277.86,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
domain owner,INR,5000,0%,0%,Low,32,3.98,65.26,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
top level domain list,INR,500,0%,0%,Low,9,23.88,135.29,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
domain transfer,INR,500,0%,-90%,Medium,56,24.67,173.49,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
website hosting services,INR,500,0%,0%,Medium,58,46.95,299.23,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
free hosting sites,INR,5000,0%,0%,Medium,54,33.43,244.16,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting, free hosting",,,website,free,,freehosting,,
free domain name and hosting,INR,500,0%,0%,Medium,65,17.24,269.79,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, web hosting, free hosting",,,name,free,,,,
freenom domain,INR,5000,0%,0%,Low,17,7.16,46.16,,,,,,,,,,,,,,,,,,,,,,,"free, freenom",,,,
1and1 ionos,INR,50,0%,0%,Low,14,477.5,477.5,,,,,,,,,,,,,,,,,,,,,1&1,,,,,,
bluehost email,INR,500,0%,0%,Low,11,15.69,170.31,,,,,,,,,,,,,,,,,,,email hosting,,bluehost,email,,,,,
company domain,INR,500,0%,-90%,Medium,34,14.33,176.68,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
hostinger email,INR,5000,0%,0%,Low,12,31.58,698.26,,,,,,,,,,,,,,,,,,,email hosting,,,email,,,hostinger,,
best vps,INR,500,0%,0%,High,75,139.27,578.82,,,,,,,,,,,,,,,,,,,"vps, virtual server",,,,,Non-Brands,,,
domain names for sale,INR,500,0%,0%,Medium,50,18.46,119.38,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
best website hosting,INR,500,0%,0%,High,70,67.65,385.98,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
wordpress domain,INR,500,0%,0%,Low,33,7.16,56.5,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,,,,,,,
bigrock domain,INR,5000,0%,0%,Medium,44,21.49,99.91,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting",,bigrock,name,,,,,
bluehost pricing,INR,500,0%,0%,Medium,38,58.1,1380.78,,,,,,,,,,,,,,,,,,,web hosting,,bluehost,,,,,,
wildcard ssl,INR,500,0%,0%,Medium,66,106.16,346.34,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
wordpress plans,INR,500,0%,0%,Low,26,9.19,138.65,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,,,,,,,
directnic,INR,50,0%,-90%,Low,27,82.88,118.58,,,,,,,,,,,,,,,,,,,,,,,directnic,,,,
web000host,INR,500,0%,0%,Low,4,23.88,99.65,,,,,,,,,,,,,,,,,,,,,,,,,000webhost,,
hosting24,INR,500,0%,0%,Low,9,64.46,158.37,,,,,,,,,,,,,,,,,,,web hosting,,hosting24,,,,,,
totally free domain name,INR,500,0%,-90%,Medium,65,12.73,608.82,,,,,,,,,,,,,,,,,,,,,,name,free,,,,
windows hosting,INR,500,0%,0%,Medium,65,79.58,335.84,,,,,,,,,,,,,,,,,,,"web hosting services, windows hosting, web hosting",,,,,Non-Brands,,,
free vps server,INR,500,0%,0%,Medium,60,90.73,875.42,,,,,,,,,,,,,,,,,,,"vps, virtual server, free hosting",,,,free,,,,
linux hosting,INR,500,0%,0%,Medium,57,80.63,365.29,,,,,,,,,,,,,,,,,,,"linux hosting, web hosting",,,,,Non-Brands,,,
managed wordpress hosting,INR,500,0%,0%,High,69,175.88,765.6,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,,,,,,,
ovh server,INR,500,900%,0%,Medium,42,96.34,213.28,,,,,,,,,,,,,,,,,,,,,ovh,,,,,,
nameboy,INR,500,0%,0%,Low,9,9.55,39.64,,,,,,,,,,,,,,,,,,,,,,name,nameboy,,,,
domain availability search,INR,500,0%,0%,Medium,36,16.71,89.13,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
fivem server hosting,INR,50,0%,0%,Low,27,10.35,90.73,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
hostinger cpanel,INR,5000,0%,0%,Low,12,8.24,31.81,,,,,,,,,,,,,,,,,,,,,,,,,hostinger,,cpanel
google domain name search,INR,5000,0%,-90%,Medium,47,44.57,573.8,,,,,,,,,,,,,,,,,,,,google,google domains,name,,,,,
aws web hosting,INR,500,0%,0%,Medium,36,25.47,198.16,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",aws,,website,,,,,
domainbigdata,INR,500,0%,0%,Low,2,38.2,139.27,,,,,,,,,,,,,,,,,,,,,,,domainbigdata,,,,
sparkedhost,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
